,id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
0,1,4537,92.229316,64.012769,0.719916,4677,76.004525,0.657536,273.085,0.764510,1.440796,1
1,1001,6470,148.253543,56.743401,0.923854,6645,90.762657,0.753728,342.153,0.694502,2.612701,1
2,2001,6024,145.935270,53.442295,0.930534,6174,87.578508,0.510163,331.752,0.687809,2.730707,1
3,3001,6892,158.017218,56.346048,0.934264,7115,93.675861,0.554376,364.369,0.652337,2.804406,1
4,4001,5622,145.222723,50.664327,0.937170,5784,84.605867,0.519401,325.664,0.666133,2.866370,1
5,5001,4860,135.905753,46.430652,0.939831,5170,78.663487,0.467848,310.039,0.635351,2.927070,1
6,6001,9010,148.253744,78.098207,0.849997,9184,107.106901,0.640097,367.190,0.839756,1.898299,0
7,7001,6197,156.607824,51.417342,0.944567,6334,88.827166,0.468370,346.840,0.647341,3.045817,1
8,8001,5035,141.837908,45.589775,0.946936,5143,80.067229,0.649510,313.630,0.643242,3.111178,1
9,9001,6801,168.008498,52.606840,0.949714,7089,93.055371,0.559293,384.596,0.577794,3.193663,1
10,10001,6684,169.186124,51.010250,0.953465,6847,92.251467,0.556629,369.768,0.614310,3.316708,1
11,11001,5295,155.926916,43.963826,0.959429,5449,82.108485,0.407464,336.884,0.586293,3.546709,1
12,12001,8282,150.838903,70.845876,0.882837,8518,102.688704,0.622754,363.302,0.788514,2.129113,0
13,13001,7709,146.686668,67.673308,0.887220,7872,99.072719,0.590456,350.435,0.788847,2.167571,0
14,14001,9126,160.820294,73.108084,0.890698,9360,107.794175,0.592290,383.184,0.781044,2.199761,0
15,15001,8960,160.639607,71.934703,0.894133,9157,106.809299,0.582954,381.133,0.775113,2.233131,0
16,16001,8966,161.922926,71.333040,0.897734,9209,106.845055,0.624721,383.928,0.764379,2.269957,0
17,17001,9511,169.359284,72.984714,0.902378,9833,110.044451,0.605256,403.337,0.734683,2.320476,0
18,18001,7029,149.550754,60.531195,0.914426,7166,94.602330,0.534200,345.648,0.739325,2.470639,0
19,2,2872,74.691881,51.400454,0.725553,3015,60.471018,0.713009,208.317,0.831658,1.453137,1
20,1002,6967,153.261344,58.651739,0.923876,7097,94.184181,0.513412,350.214,0.713820,2.613074,1
21,2002,4661,128.815136,47.172582,0.930535,4770,77.036157,0.714001,291.656,0.688568,2.730720,1
22,3002,4071,120.851296,43.092754,0.934266,4159,71.995543,0.510214,270.859,0.697308,2.804446,1
23,4002,5829,147.568518,51.480287,0.937176,5968,86.149366,0.480227,332.921,0.660878,2.866505,1
24,5002,6164,152.392827,52.063271,0.939831,6303,88.590341,0.502118,341.629,0.663687,2.927070,1
25,6002,6678,160.563883,53.759094,0.942284,6795,92.210052,0.769355,354.392,0.668172,2.986730,1
26,7002,4636,135.351835,44.437903,0.944569,4733,76.829282,0.492772,295.512,0.667119,3.045865,1
27,8002,6505,161.827951,52.013145,0.946940,6639,91.007820,0.490795,356.521,0.643112,3.111290,1
28,9002,5463,151.786018,47.525562,0.949717,5689,83.400885,0.691782,336.926,0.604745,3.193776,1
29,10002,8577,151.010932,73.486022,0.873610,8753,104.501558,0.799497,367.146,0.799591,2.054961,0
30,11002,4276,141.545591,39.896794,0.959454,4492,73.785990,0.401880,309.035,0.562642,3.547794,1
31,12002,9207,158.986149,74.671674,0.882840,9495,108.271494,0.751837,391.741,0.753928,2.129136,0
32,13002,8478,154.366750,71.216281,0.887221,8749,103.896703,0.626330,372.051,0.769659,2.167577,0
33,14002,7612,146.609113,66.647463,0.890699,7761,98.447445,0.588800,348.483,0.787672,2.199770,0
34,15002,6220,133.891126,59.955149,0.894139,6345,88.991853,0.767901,319.816,0.764187,2.233188,0
35,16002,9201,164.171179,72.322939,0.897736,9438,108.236210,0.742196,391.683,0.753660,2.269974,0
36,17002,9460,167.776541,72.297591,0.902392,9630,109.749014,0.801152,390.831,0.778257,2.320638,0
37,18002,9790,176.563433,71.430030,0.914513,10067,111.646832,0.602981,414.486,0.716099,2.471838,0
38,3,3048,76.293164,52.043491,0.731211,3132,62.296341,0.759153,210.012,0.868434,1.465950,1
39,1003,5298,134.232729,51.367419,0.923883,5457,82.131742,0.652302,307.981,0.701898,2.613188,1
40,2003,5888,144.542745,52.930395,0.930539,6042,86.584262,0.541176,327.045,0.691771,2.730808,1
41,3003,6230,151.149276,53.896249,0.934266,6422,89.063362,0.580886,343.741,0.662575,2.804449,1
42,4003,6187,152.365904,53.152319,0.937180,6455,88.755468,0.505804,348.723,0.639335,2.866590,1
43,5003,7048,163.415223,55.827991,0.939834,7203,94.730102,0.495849,362.890,0.672552,2.927120,1
44,6003,6133,154.654367,51.779820,0.942286,6318,88.367291,0.556534,346.297,0.642666,2.986769,1
45,7003,5949,153.642524,50.440402,0.944574,6122,87.031615,0.665436,342.798,0.636176,3.046021,1
46,8003,6355,160.576250,51.610219,0.946941,6582,89.952417,0.457030,362.461,0.607859,3.111327,1
47,9003,8011,145.684559,71.763800,0.870257,8244,100.994663,0.696488,356.544,0.791900,2.030056,0
48,10003,7823,144.599820,70.362454,0.873624,8036,99.802570,0.782613,354.236,0.783426,2.055071,0
49,11003,8420,150.123057,71.933244,0.877727,8584,103.540702,0.669104,361.101,0.811455,2.086977,0
50,12003,9336,159.683402,74.997737,0.882845,9533,109.027356,0.606234,382.260,0.802884,2.129176,0
51,13003,7990,150.144428,69.266117,0.887229,8200,100.862203,0.715053,362.474,0.764193,2.167646,0
52,14003,6262,133.453397,60.666835,0.890700,6437,89.291803,0.603857,322.025,0.758829,2.199775,0
